iter	Passed	Remaining
0	0	98
1	1	88
2	2	88
3	3	87
4	4	85
5	5	84
6	6	83
7	7	81
8	7	80
9	8	80
10	9	79
11	10	80
12	11	79
13	12	78
14	13	77
15	14	76
16	15	75
17	16	74
18	17	73
19	17	71
20	18	70
21	19	69
22	20	68
23	21	67
24	22	66
25	23	66
26	24	65
27	24	63
28	25	62
29	26	61
30	27	60
31	28	59
32	29	59
33	29	58
34	30	56
35	31	56
36	32	55
37	33	54
38	34	53
39	35	52
40	35	51
41	36	50
42	37	49
43	38	48
44	39	48
45	40	47
46	41	46
47	41	45
48	42	44
49	43	43
50	44	43
51	45	42
52	46	41
53	47	40
54	48	39
55	49	38
56	50	37
57	50	36
58	51	35
59	52	35
60	53	34
61	54	33
62	54	32
63	55	31
64	56	30
65	57	29
66	58	28
67	59	27
68	60	27
69	61	26
70	62	25
71	63	24
72	64	23
73	64	22
74	65	21
75	66	21
76	67	20
77	68	19
78	69	18
79	70	17
80	70	16
81	71	15
82	72	14
83	73	13
84	73	13
85	74	12
86	75	11
87	76	10
88	77	9
89	78	8
90	79	7
91	79	6
92	80	6
93	81	5
94	82	4
95	83	3
96	83	2
97	84	1
98	85	0
99	86	0
