iter	Passed	Remaining
0	181	180890
1	182	90836
2	182	60814
3	184	45951
4	186	37044
5	187	31062
6	188	26765
7	189	23543
8	191	21041
9	191	19000
10	192	17344
11	194	16018
12	195	14837
13	196	13827
14	197	12947
15	198	12220
16	199	11562
17	200	10964
18	201	10420
19	202	9927
20	203	9483
21	204	9080
22	205	8715
23	206	8377
24	206	8066
25	207	7780
26	208	7516
27	209	7267
28	210	7039
29	211	6825
30	213	6669
31	214	6492
32	215	6322
33	216	6159
34	217	6006
35	218	5859
36	219	5722
37	220	5588
38	221	5464
39	222	5344
40	223	5236
41	224	5128
42	225	5026
43	227	4934
44	228	4846
45	229	4756
46	230	4667
47	230	4580
48	231	4499
49	232	4420
50	233	4345
51	234	4271
52	235	4202
53	236	4135
54	236	4070
55	237	4007
56	238	3946
57	239	3887
58	240	3838
59	241	3790
60	242	3739
61	244	3692
62	244	3642
63	245	3593
64	246	3547
65	247	3502
66	248	3458
67	249	3415
68	250	3373
69	250	3333
70	251	3293
71	252	3254
72	253	3217
73	254	3183
74	256	3163
75	257	3135
76	258	3103
77	259	3070
78	260	3037
79	261	3005
80	262	2974
81	262	2944
82	263	2910
83	264	2882
84	265	2853
85	265	2826
86	266	2799
87	267	2773
88	268	2748
89	270	2733
90	271	2714
91	272	2691
92	273	2669
93	274	2646
94	275	2623
95	276	2600
96	276	2578
97	277	2556
98	278	2535
99	279	2515
100	280	2495
101	281	2476
102	282	2457
103	283	2439
104	285	2437
105	287	2421
106	288	2404
107	288	2386
108	289	2369
109	290	2352
110	291	2336
111	292	2319
112	293	2303
113	294	2287
114	295	2271
115	296	2256
116	296	2240
117	298	2227
118	299	2216
119	300	2203
120	301	2192
121	302	2178
122	303	2164
123	304	2151
124	305	2138
125	306	2124
126	307	2111
127	308	2099
128	309	2086
129	309	2073
130	310	2061
131	311	2048
132	313	2043
133	314	2033
134	315	2023
135	316	2012
136	317	2001
137	318	1989
138	319	1977
139	320	1966
140	321	1956
141	321	1943
142	322	1932
143	323	1922
144	324	1911
145	325	1901
146	325	1890
147	326	1881
148	329	1879
149	330	1872
150	331	1864
151	332	1856
152	333	1848
153	335	1841
154	336	1832
155	336	1822
156	337	1813
157	338	1804
158	339	1795
159	340	1786
160	340	1775
161	341	1767
162	342	1759
163	343	1753
164	345	1748
165	346	1740
166	347	1732
167	348	1724
168	348	1716
169	349	1707
170	350	1699
171	351	1691
172	352	1683
173	353	1676
174	353	1668
175	354	1661
176	355	1654
177	356	1647
178	358	1642
179	359	1636
180	360	1630
181	361	1623
182	362	1617
183	363	1610
184	364	1604
185	365	1598
186	366	1591
187	367	1585
188	367	1578
189	368	1572
190	369	1566
191	370	1559
192	371	1553
193	372	1547
194	373	1543
195	375	1538
196	375	1531
197	376	1525
198	377	1519
199	378	1514
200	379	1508
201	380	1502
202	381	1496
203	382	1491
204	383	1485
205	383	1479
206	384	1474
207	385	1468
208	386	1463
209	388	1459
210	389	1455
211	390	1451
212	391	1446
213	392	1442
214	393	1438
215	394	1433
216	395	1428
217	396	1423
218	397	1418
219	398	1413
220	399	1408
221	400	1403
222	401	1398
223	402	1393
224	403	1390
225	404	1386
226	405	1381
227	406	1376
228	407	1372
229	408	1368
230	409	1363
231	410	1359
232	411	1355
233	413	1352
234	414	1347
235	415	1343
236	415	1339
237	417	1335
238	418	1331
239	419	1329
240	420	1324
241	421	1320
242	422	1316
243	423	1312
244	424	1307
245	425	1303
246	426	1299
247	427	1295
248	428	1291
249	428	1286
250	429	1282
251	430	1278
252	431	1275
253	433	1272
254	434	1269
255	435	1265
256	436	1261
257	437	1257
258	438	1253
259	439	1250
260	440	1246
261	441	1242
262	442	1239
263	443	1236
264	444	1233
265	446	1232
266	448	1229
267	449	1227
268	450	1223
269	451	1220
270	452	1217
271	453	1214
272	454	1210
273	455	1207
274	456	1204
275	457	1200
276	458	1197
277	459	1194
278	461	1191
279	462	1189
280	463	1187
281	465	1184
282	465	1180
283	466	1176
284	467	1173
285	468	1170
286	469	1166
287	470	1163
288	471	1159
289	472	1156
290	473	1152
291	474	1149
292	475	1146
293	476	1144
294	478	1142
295	479	1140
296	480	1137
297	481	1134
298	482	1131
299	483	1127
300	484	1124
301	485	1121
302	486	1118
303	487	1115
304	488	1113
305	489	1110
306	490	1108
307	492	1106
308	494	1104
309	495	1102
310	496	1099
311	497	1096
312	497	1092
313	498	1089
314	499	1086
315	500	1083
316	501	1080
317	502	1077
318	503	1074
319	504	1071
320	505	1069
321	507	1067
322	508	1064
323	509	1062
324	511	1061
325	512	1059
326	513	1057
327	514	1054
328	516	1053
329	517	1050
330	518	1048
331	519	1046
332	521	1043
333	522	1042
334	523	1039
335	524	1037
336	526	1035
337	527	1033
338	528	1030
339	529	1027
340	530	1025
341	531	1022
342	532	1019
343	533	1016
344	534	1014
345	536	1013
346	538	1012
347	540	1012
348	542	1011
